cenario,replicacao,seed,lambda,mu,tempo_simulado_s,warmup_s,n_requisicoes_pos_warmup,L,Lq,W_s,Wq_s
B_alta_carga,21,120000,9.0,10.0,20000.0,2000.0,161934,9.784864,8.883248,1.087649,0.987429
B_alta_carga,22,121000,9.0,10.0,20000.0,2000.0,161730,8.886596,7.9902,0.989039,0.889278
B_alta_carga,23,122000,9.0,10.0,20000.0,2000.0,161944,9.255557,8.353754,1.028562,0.928337
B_alta_carga,24,123000,9.0,10.0,20000.0,2000.0,162119,8.936868,8.039166,0.992247,0.892579
B_alta_carga,25,124000,9.0,10.0,20000.0,2000.0,162030,9.07638,8.175689,1.00828,0.908227
B_alta_carga,26,125000,9.0,10.0,20000.0,2000.0,162568,8.685502,7.783695,0.96166,0.861815
B_alta_carga,27,126000,9.0,10.0,20000.0,2000.0,162084,9.13025,8.232119,1.013934,0.914197
B_alta_carga,28,127000,9.0,10.0,20000.0,2000.0,162054,8.794081,7.894053,0.976792,0.876824
B_alta_carga,29,128000,9.0,10.0,20000.0,2000.0,162370,8.394453,7.497966,0.930402,0.831025
B_alta_carga,30,129000,9.0,10.0,20000.0,2000.0,160779,8.593932,7.698115,0.962024,0.861733
